run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch3935-seed6-4180,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,0,0,0,0,0,0,0,0.0,0.0,0.978,0.685,0.391,0.353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.778,2.667,7.444,0.355,1.0,1.0,0.2352,0.0,,0.0,,
slurm-batch3935-seed7-4188,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,3,3,3,3,0,0,1,0.333,0.261,1.0,0.678,0.437,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.778,0.333,4.111,0.631,0.989,0.778,0.2312,0.0,,0.0,,
slurm-batch3935-seed8-4189,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,1,1,0,0,0,0.111,0.022,0.994,0.671,0.401,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.111,1.333,5.444,0.385,1.0,1.0,0.2417,0.0,,0.0,,
slurm-batch3935-seed9-4194,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,4,4,5,4,1,0,0,0.444,0.283,1.0,0.668,0.588,0.228,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.556,1.111,5.667,0.779,0.978,0.667,0.2369,0.0,,0.0,,
slurm-batch3936-seed1-4199,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,2,2,0,0,0,0.222,0.117,1.0,0.66,0.5,0.246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,0.561,0.983,1.0,0.2556,0.0,,0.0,,
slurm-batch3936-seed10-4229,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,2,2,0,0,0,0.222,0.117,0.95,0.664,0.536,0.383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.667,0.556,4.222,0.49,1.0,1.0,0.2592,0.0,,0.0,,
slurm-batch3936-seed2-4200,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,3,3,0,0,0,0.333,0.161,0.963,0.657,0.543,0.318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.111,0.667,3.778,0.645,1.0,1.0,0.2592,0.0,,0.0,,
slurm-batch3936-seed3-4209,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,5,5,3,3,0,1,1,0.556,0.278,0.964,0.66,0.546,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,0.469,1.0,0.778,0.2532,0.0,,0.0,,
slurm-batch3936-seed4-4210,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,4,4,3,2,1,0,0,0.444,0.306,0.989,0.649,0.577,0.287,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.222,0.444,3.667,0.543,1.0,0.889,0.268,0.0,,0.0,,
slurm-batch3936-seed5-4219,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,4,4,4,4,0,0,0,0.444,0.261,0.988,0.653,0.598,0.381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.889,0.889,4.778,0.623,1.0,1.0,0.2419,0.0,,0.0,,
slurm-batch3936-seed6-4220,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,2,2,0,0,0,0.222,0.133,1.0,0.681,0.527,0.331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.889,0.333,4.222,0.623,0.994,1.0,0.2391,0.0,,0.0,,
slurm-batch3936-seed7-4223,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,3,3,0,2,0,0.333,0.233,0.945,0.664,0.509,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.667,0.889,4.556,0.595,1.0,1.0,0.27,0.0,,0.0,,
slurm-batch3936-seed8-4224,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,1,1,0,1,0,0.222,0.133,0.949,0.667,0.559,0.326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.778,0.444,4.222,0.428,1.0,0.889,0.2683,0.0,,0.0,,
